BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
MANHATTAN,ALPHABET CITY,01 ONE FAMILY HOMES,1,593362,593362,593362,593362,2010
MANHATTAN,ALPHABET CITY,02 TWO FAMILY HOMES,1,1320000,1320000,1320000,1320000,2010
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,900000,900000,900000,900000,2010
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,500000,2875000,2875000,5250000,2010
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,2,1306213,2603107,2603107,3900000,2010
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,1,6400000,6400000,6400000,6400000,2010
MANHATTAN,CLINTON,01 ONE FAMILY HOMES,1,3850000,3850000,3850000,3850000,2010
MANHATTAN,EAST VILLAGE,01 ONE FAMILY HOMES,2,3100000,5800000,5800000,8500000,2010
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,2,477500,2738750,2738750,5000000,2010
MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,3290000,3290000,3290000,3290000,2010
MANHATTAN,GRAMERCY,01 ONE FAMILY HOMES,2,2700000,6325000,6325000,9950000,2010
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,4,5100000,13112500,13675000,20000000,2010
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,11,4125000,7160455,6280000,13580000,2010
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,5,2725000,5850000,3400000,12750000,2010
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,7,2475000,4875000,5750000,6800000,2010
MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY HOMES,5,200000,1105000,1550000,1650000,2010
MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY HOMES,14,800000,1470635,1600000,2000000,2010
MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY HOMES,14,595000,989633,961886,1650000,2010
MANHATTAN,HARLEM-EAST,02 TWO FAMILY HOMES,1,950000,950000,950000,950000,2010
