period_begin,period_end,period_duration,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2022-05-01,2022-05-31,30,30749,f,New York,New York,NY,Townhouse,13,1070000.0,0.1263157894736841,0.2547639988273233,874900.0,-0.0147522522522522,0.0604848484848485,488.79570465033726,0.1384551600004839,0.3012080654433124,707.1765322158197,0.0011159951716126,0.0915116040722434,167.0,0.176056338028169,0.5754716981132075,198.0,0.2298136645962733,0.4042553191489362,297.0,-0.0294117647058823,0.4924623115577888,746.0,0.0626780626780627,0.4513618677042801,4.5,-0.4000000000000003,-0.2999999999999998,41.0,-3.0,-13.0,0.9947249009311738,0.0049905376476081,0.0330503973083846,0.1976047904191616,-0.0066205616935143,0.0655293187210484,0.35656836461126,0.0859130939559893,0.0394477420431667,0.2929292929292929,-0.0300520735303344,-0.082957231893402,"New York, NY",35614,2023-04-09 14:55:08
2015-07-01,2015-07-31,30,30749,f,New York,New York,NY,All Residential,-1,580000.0,0.0104529616724737,,600000.0,-0.0398463754200671,,447.7272727272728,-0.0010707070707071,,468.75,0.0266709511568123,,2672.0,-0.0190895741556534,,1634.0,-0.132235793945831,,3837.0,-0.0892475670543555,,20483.0,-0.0010729090465739,,7.7,0.2000000000000001,,105.0,-8.0,,0.9741721425804684,-0.0032368355043075,,0.0812125748502993,-0.0013865440924318,,0.0646389689010398,-0.0032956811843051,,0.1738066095471236,0.0171417131052755,,"New York, NY",35614,2023-04-09 14:55:08
2020-11-01,2020-11-30,30,30749,f,New York,New York,NY,Single Family Residential,6,640000.0,0.0158730158730158,0.032258064516129,749999.0,-0.0370900565935025,-1.3333333332976594e-06,416.2946428571429,0.0315456864564007,0.0565603600795694,559.3251960536302,-0.0786681739679392,0.0121053180041679,791.0,-0.1132286995515695,0.175334323922734,607.0,-0.2326169405815423,0.2619542619542618,848.0,-0.2795242141036533,0.0253929866989117,3796.0,-0.0536025928696085,-0.0606285572878,4.8,0.2999999999999998,-1.2000000000000002,53.0,0.0,-21.0,0.9687457454782928,0.0016409368797128,0.0075070942784378,0.1378002528445006,0.0077554097951732,0.0189295247612911,0.2133825079030558,-0.0566249715285073,6.897164965322111e-05,0.1878088962108731,-0.030901596835903,0.0110937194956964,"New York, NY",35614,2023-04-09 14:55:08
2019-08-01,2019-08-31,30,30749,f,New York,New York,NY,All Residential,-1,718000.0,-0.0027777777777777,-0.0150891632373113,719000.0,-0.0400534045393858,0.0271428571428571,553.030303030303,0.0111135821585175,-0.0124458874458874,527.7155555555555,-0.0457505182491487,0.0340291411133701,2988.0,0.0429319371727747,-0.0859590088712144,1701.0,-0.1204756980351603,-0.0173310225303292,3623.0,-0.1187059109705668,-0.0848699166456176,22341.0,-0.0526650553364711,0.002422937138242,7.5,-0.6999999999999992,0.7000000000000001,111.0,0.0,7.0,0.9779274816470972,0.0005251825855724,-0.004341676310881,0.0789825970548862,0.0049860874562823,-0.030225111724557,0.1559912268922608,-0.0304566380952301,0.0230437687327957,0.1481481481481481,0.0064728637634532,-0.0384491944283971,"New York, NY",35614,2023-04-09 14:55:08
2023-03-01,2023-03-31,30,30749,f,New York,New York,NY,All Residential,-1,787500.0,0.0361842105263157,-0.0396341463414634,882500.0,0.0382365155723711,0.0382352941176471,588.4009009009009,0.0698198198198196,-0.1178132101100631,714.3928571428571,0.0479834173756199,0.0220020168067225,2343.0,0.2279874213836476,-0.3909539901221731,2275.0,0.5853658536585366,-0.3027888446215139,4968.0,0.3811509591326105,-0.2433749619250685,15153.0,0.0060416943301022,-0.049432281538172,6.5,-1.4000000000000004,2.4000000000000004,94.0,12.0,20.0,0.974218122365696,-0.0001330914307535,-0.0093245150099537,0.0840802390098164,0.0117531949846592,-0.0245758566491385,0.233485118458391,0.051902327328395,-0.0175656311809038,0.2303296703296703,0.0149986598767086,-0.0660233790114267,"New York, NY",35614,2023-04-09 14:55:08
2020-08-01,2020-08-31,30,30749,f,New York,New York,NY,All Residential,-1,689000.0,-0.0014492753623188,-0.0403899721448467,759900.0,-0.0001315789473683,0.0568845618915159,467.8571428571428,-0.0494564527481712,-0.1540117416829746,565.0168918918919,-0.0244790583886139,0.0706845495525845,1538.0,-0.1042516016307513,-0.4852744310575636,2184.0,0.3077844311377244,0.2839506172839505,5630.0,-0.1500603864734299,0.5539608059619101,24291.0,0.0517861008876379,0.0872834698536324,15.8,2.3000000000000007,8.3,124.0,-16.0,13.0,0.9760024697657036,0.0012002503474375,-0.0019250118813936,0.0838751625487646,0.0128209983088112,0.0048925654938784,0.1962866905438228,-0.0130226837796238,0.0402954636515619,0.1918498168498168,-0.1129406023118597,0.0437016687016687,"New York, NY",35614,2023-04-09 14:55:08
2015-09-01,2015-09-30,30,30749,f,New York,New York,NY,Condo/Co-op,3,625000.0,0.0162601626016261,,715000.0,0.2016806722689075,,972.2222222222221,0.0427142470938091,,660.9642301710729,0.5759540071906037,,1393.0,-0.0484972677595628,,508.0,-0.0863309352517985,,2668.0,0.6072289156626506,,13813.0,0.0428053752076098,,9.9,0.9000000000000004,,124.0,5.0,,0.9882737421457076,-0.002414191357243,,0.050251256281407,-0.0030274322431831,,0.0281618764931586,-0.0009035017342307,,0.1122047244094488,0.0132838611000963,,"New York, NY",35614,2023-04-09 14:55:08
2021-03-01,2021-03-31,30,30749,f,New York,New York,NY,Condo/Co-op,3,785000.0,0.1629629629629629,0.0735042735042734,775000.0,0.0150622134905042,0.033334711112948,1016.6666666666666,0.0447419804741979,0.0494623655913977,593.75,0.0253273852352857,0.06875,2058.0,0.4183321847002068,0.867513611615245,1122.0,1.0739371534195934,1.2306163021868786,3194.0,0.5804057397328055,0.8667445938047926,10909.0,0.0558459156020132,-0.1913868504929212,5.3,-1.7999999999999998,-6.9,123.0,19.0,-51.0,0.989655206651362,-0.0009759763508802,0.0018279543211735,0.0179786200194363,-0.0157911939019971,-0.0174115796175872,0.2723439361994683,0.0473149001948225,0.165680234472391,0.2691622103386809,0.012230602205594,0.0902357689867922,"New York, NY",35614,2023-04-09 14:55:08
2016-07-01,2016-07-31,30,30749,f,New York,New York,NY,All Residential,-1,642500.0,0.0198412698412697,0.1077586206896552,659000.0,-0.0435413642960812,0.0983333333333333,494.90950226244337,0.0337535295299078,0.1053816294186553,496.875,-0.0424613007818658,0.06,2494.0,-0.0934205743366048,-0.0666167664670658,1496.0,-0.1246342890579286,-0.0844553243574051,3584.0,-0.1509121061359867,-0.0659369298931457,22875.0,-0.003788868565456,0.1167797685885856,9.2,0.8999999999999985,1.4999999999999991,105.0,-4.0,0.0,0.9801376357554948,0.0032503383477845,0.0059654931750261,0.1018444266238973,0.0135129108114655,0.0206318517735979,0.0470382513661202,-0.0048300527885701,-0.0176007175349196,0.2018716577540107,-0.0257468325912204,0.028065048206887,"New York, NY",35614,2023-04-09 14:55:08
2021-06-01,2021-06-30,30,30749,f,New York,New York,NY,Single Family Residential,6,670000.0,-0.0074074074074074,0.0780370072405469,795000.0,-0.0363636363636363,0.0277957336780865,444.77415100560495,0.0423692137514346,0.1136074607884696,583.24,-0.0997817391304347,0.0286167789344764,887.0,0.1242078580481622,0.8176229508196721,900.0,0.0089686098654708,1.8571428571428568,1293.0,0.065952184666117,0.0245641838351822,2912.0,0.0192509625481274,-0.2624113475177305,3.3,-0.3000000000000002,-4.8,41.0,-20.0,-38.0,0.9748633468591698,0.0058134391706152,0.0124343469662029,0.2063134160090191,0.0364781815350014,0.1018052192877076,0.1998626373626373,0.0077030293822383,0.0554857376665887,0.3222222222222222,-0.0488540109616342,-0.0142857142857142,"New York, NY",35614,2023-04-09 14:55:08
