,Tourist_Spot,Address,Zipcode,coordinate
278,Weeksville Heritage Center,"158 Buffalo Ave Brooklyn, NY 11213 Bedford-Stuyvesant",11213,"(40.6741188, -73.9253126)"
279,The Sightseeing Pass,"777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,"(40.7608, -73.9875492)"
280,Hudson Yards New York,"New York, NY 10001, Midtown West",10001,"(40.7637581, -73.9918181)"
281,Castle Clinton National Monument,"Castle Clinton National Monument, 17 Battery Pl. Manhattan, NY 10005-1996, Battery Park City",10005-1996,"(40.7034401, -74.0168023)"
282,34th Street Partnership,"mail: 1065 Sixth Ave., ste. 2400 New York, NY 10018 , Midtown West",10018,"(40.7539141, -73.9853115)"
283,General Grant National Memorial,"Riverside Dr and 122nd St Manhattan, NY 10027, Morningside Heights",10027,"(40.8126328, -73.96301729999999)"
284,"Pier 25, Hudson River Park","225 West St. Manhattan, NY 10013, Tribeca ",10013,"(40.7202023, -74.0139971)"
285,55 Central Park West,"55 Central Park West New York, NY 10023, Upper West Side",10023,"(40.7722757, -73.979081)"
286,Sara D. Roosevelt Park,"East Houston Street to Canal Street (bet. Forsyth and Chrystie Sts.) Manhattan, NY 10002, Lower East Side",10002,"(40.7197125, -73.9931163)"
287,Central Park Arsenal,"East side of the park at Fifth Ave and 64th St Manhattan, NY 10065, Central Park",10065,"(40.76408319999999, -73.95602699999999)"
288,InterChurch Center,"475 Riverside Dr., rm. 253 Manhattan, NY 10115, Morningside Heights",10115,"(40.8109362, -73.963991)"
289,Sakura Park,"W 122nd St and Riverside Dr Manhattan, NY 10027, Morningside Heights",10027,"(40.8126328, -73.96301729999999)"
290,Pelham Bay Park,"Bruckner Blvd and Westchester Ave Bronx, NY 10461, Pelham Bay",10461,"(40.8532159, -73.8260481)"
291,Hudson River Park,"West Side Highway, bet. Battery Place and W. 59th St. Manhattan, NY 10014, Manhattan",10014,"(40.7755364, -73.9914741)"
292,LIC Flea & Food,"5-25 46th Ave. Queens, NY 11101, Long Island City",11101,"(40.7474559, -73.95417239999999)"
293,Grant's Tomb,"Riverside Drive and West 122nd Street Manhattan, NY 10027, Morningside Heights",10027,"(40.8126328, -73.96301729999999)"
294,Gravesend Cemetery,"Ave V and Van Sicklen St Brooklyn, NY 11223, Gravesend",11223,"(40.59458739999999, -73.9753417)"
295,Piers 92/94 New York,"711 Twelfth Ave. Manhattan, NY 10019, Midtown West",10019,"(40.76910549999999, -73.9964354)"
296,New York Marble Cemetery,"41 1/2 Second Ave Manhattan, NY 10003, Lower East Side",10003,"(40.7255538, -73.990808)"
297,New York City AIDS Memorial,"200-218 West 12th Street New York, NY 10011, West Village",10011,"(40.7372433, -74.00066869999999)"
298,Peter Jay Sharp Theater at Julliard,"155 W. 65th St. Manhattan, NY 10023, Upper West Side",10023,"(40.7738279, -73.98335159999999)"
299,Chester A. Arthur House,"123 Lexington Ave. Manhattan, NY 10016, Midtown East",10016,"(40.7427536, -73.98206739999999)"
300,Chateau Stables,"608 W. 48th St. New York, NY 10036, Hells Kitchen",10036,"(40.7647277, -73.99634019999999)"
301,LIC Beer Project,"39-28 23rd Street NY 11101, Long Island City",11101,"(40.7549273, -73.9392266)"
302,Central Park's Rumsey Playfield,"14 E 71st St, New York, NY 10021",10021,"(40.7711314, -73.96663939999999)"
303,Christie’s Auction House,"20 Rockefeller Plaza New York, NY 10020, Midtown West",10020,"(40.7584233, -73.979789)"
304,Lasker Rink,"830 5th Avenue New York, NY 10065, Central Park",10065,"(40.7825547, -73.9655834)"
305,Marble Collegiate Church,"1 W. 29th St. Manhattan, NY 10001, NoMad",10001,"(40.7457812, -73.98747589999999)"
306,Riverdale Park,"West 254 Street Bronx, NY 10463, Riverdale",10463,"(40.901724, -73.9059685)"
307,Brooklyn Army Terminal,"140 58th St. Brooklyn, NY 11220, Sunset Park",11220,"(40.6455001, -74.0239072)"
308,NYC Department of Records and Information Services,"Visitor Center, 31 Chambers St., rm. 112 Manhattan, NY 10007, Lower Manhattan",10007,"(40.7135271, -74.0042781)"
309,City Ice Pavilion,"47-32 32nd Place Queens, NY 11101, Long Island City",11101,"(40.7415305, -73.93369419999999)"
