,Tourist_Spot,Address,Zipcode,coordinate
90,New York Wheel,"7 Penn Plaza, ste. 1705 New York, NY 10001, Staten Island",10001,"(40.7488694, -73.9923922)"
91,New York Yankees,"Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx",10451,"(40.8296426, -73.9261745)"
92,Official NYC Information Center at Macy's Herald Square,"151 W. 34th St. Manhattan, NY 10011, Midtown West",10011,"(40.7508631, -73.98906339999999)"
93,Old Stone House,"336 3rd St. Brooklyn, NY 11215, Park Slope",11215,"(40.6730021, -73.9845869)"
94,One World Observatory,"One World Trade Center, 285 Fulton St. 45 fl. ste. F Manhattan, NY 10007, Lower Manhattan",10007,"(40.7130082, -74.0131689)"
95,Parachute Jump,"Boardwalk W. (bet. W. 16th and W. 19th Sts.) Brooklyn, NY 11224, Coney Island",11224,"(40.578853, -73.9864304)"
96,Paradise Theater,"2403 Grand Concourse Bronx, NY 10468, Fordham",10468,"(40.8603366, -73.89870549999999)"
97,Pepsi-Cola Sign,"30-99 48th AvenueNew York, NY 11101, Long Island City",11101,"(40.747452, -73.95779370000001)"
98,Plymouth Church of the Pilgrims,"75 Hicks St Brooklyn, NY 11201, Brooklyn Heights",11201,"(40.6993529, -73.9937004)"
99,Poe Park,"Grand Concourse and East 192nd Street Bronx, NY 10458, Fordham",10458,"(40.8642098, -73.8957436)"
100,Prospect Park,"95 Prospect Park West Brooklyn , NY 11215, Park Slope",11215,"(40.6669904, -73.9736823)"
101,Prospect Park Audubon Center,"Prospect Park Brooklyn, NY 11225, Park Slope",11225,"(40.6602037, -73.9689558)"
102,Prospect Park Carousel,"Enter the park at Willink entrance (intersection of Empire, Ocean and Flatbush Aves.) Brooklyn, NY 11210, Park Slope",11210,"(40.6786959, -73.9735721)"
103,Prospect Park Lake,"Parkside and Ocean Avenues entrance Brooklyn, NY 11218, Park Slope",11218,"(40.654903, -73.96195999999999)"
104,Prospect Park Litchfield Villa,"95 Prospect Park West Brooklyn, NY 11215, Park Slope",11215,"(40.6669904, -73.9736823)"
105,Prospect Park Zoo,"450 Flatbush Ave. Brooklyn, NY 11225, Crown Heights",11225,"(40.6657963, -73.9653872)"
106,Queens Museum,"New York City Building, Flushing Meadows Corona Park Queens, NY 11368, Flushing",11368,"(40.739052, -73.84117379999999)"
107,Queens Zoo,"53-51 111th St. Queens, NY 11368, Flushing",11368,"(40.74366819999999, -73.8499471)"
108,Queensboro Bridge,"Ed Koch Queensboro Bridge, New York, NY 10044",10044,"(40.75692900000001, -73.9547551)"
109,Radio City Music Hall,"1260 Sixth Ave. Manhattan, NY 10020, Midtown West",10020,"(40.7599893, -73.9800542)"
110,Resorts World Casino New York City,"110-00 Rockaway Blvd. Queens, NY 11420, Jamaica",11420,"(40.6737403, -73.8326763)"
111,Ripley's Believe It or Not! Times Square,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,"(40.7566328, -73.9887914)"
112,Riverside Park,"Riverside Drive to Hudson River 72nd St. to St Clair Pl. New York, NY 10115, Upper West Side",10115,"(40.8175334, -73.9606975)"
113,Rockefeller Center,"45 Rockefeller Plaza Manhattan, NY 10111, Midtown West",10111,"(40.7591523, -73.9777136)"
114,Roosevelt Island,"591 Main St. Roosevelt Island, NY 10044, Roosevelt Island",10044,"(40.7632933, -73.9491716)"
115,Roundabout Theatre Company,"231 W. 39th St., ste. 1200 New York, NY 10018, Midtown West",10018,"(40.7548855, -73.9896215)"
116,Sail the Park,"Kerbs Memorial Boathouse in Central Park (off Fifth Ave. btw. 72nd–76th Sts.) Manhattan, NY 10021, Central Park",10021,"(40.7825547, -73.9655834)"
117,Schomburg Center for Research in Black Culture,"515 Malcolm X Blvd. Manhattan, NY 10037, Harlem",10037,"(40.8141662, -73.9406262)"
118,SeaGlass Carousel,"The Battery Manhattan, NY 10004, Lower Manhattan",10004,"(40.70293119999999, -74.0153603)"
119,Seaport District NYC,"Pier 17, Fulton and Front Streets Manhattan, NY 10038, Lower Manhattan",10038,"(40.705573, -74.00145669999999)"
120,"Sheep Meadow, Central Park","1802 65th St Transverse, New York, NY 10065",10065,"(40.7680543, -73.97033569999999)"
121,Sleep No More,"530 W. 27th St. Manhattan, NY 10001, Chelsea",10001,"(40.75059419999999, -74.0038776)"
122,Socrates Sculpture Park,"32-01 Sculpture Park at Broadway Queens, NY 11106, Long Island City",11106,"(40.718093, -74.0153767)"
123,Solomon R. Guggenheim Museum,"1071 Fifth Ave. Manhattan, NY 10128, Upper East Side",10128,"(40.7831815, -73.9588052)"
124,South Street Seaport Museum,"Pier 16, South Street Seaport, South St. at the foot of John St.; office: 12 Fulton St. Manhattan, NY 10038, Lower Manhattan",10038,"(40.7065616, -74.0037097)"
125,Spirit of New York,"Pier 61, Chelsea Piers at W. 23rd St. & 12th Avenue Manhattan, NY 10011, Chelsea",10011,"(40.74735500000001, -74.0083691)"
126,St. Patrick's Cathedral,"Fifth Ave. btw. 50th-51st Sts. Manhattan, NY 10126, Midtown East",10126,"(40.7744146, -73.9656177)"
127,St. Patrick’s Old Cathedra,"263 Mulberry St Manhattan, NY 10012, Nolita",10012,"(40.7238274, -73.9956516)"
128,St. Paul's Chapel,"209 Broadway Manhattan, NY 10007, Lower Manhattan",10007,"(40.711326, -74.00917770000001)"
129,Staten Island Borough Hall,"10 Richmond Terrace Staten Island, NY 10301, St. George",10301,"(40.6424311, -74.0761249)"
130,Staten Island Ferry,"St. George Terminal, 1 Bay St. Staten Island, NY 10301, St. George",10301,"(40.64409819999999, -74.0725489)"
131,Staten Island September 11 Memorial,"St George Esplanade Staten Island, NY 10301, St. George",10301,"(40.6427017, -74.0799469)"
132,Staten Island Yankees,"Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301 St. George",10301,"(40.6455625, -74.07719349999999)"
133,Staten Island Zoo,"614 Broadway Staten Island, NY 10310, Staten Island",10310,"(40.6254245, -74.11523290000001)"
134,Statue of Liberty National Monument,"Liberty Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,"(40.7115786, -74.0158441)"
135,Strawberry Fields/Imagine Mosaic,"Bet 71st and 74th Sts on the Central Park West side Manhattan, NY 10023, Central Park",10023,"(40.7825547, -73.9655834)"
136,The Church of St. Luke in the Fields,"487 Hudson St Manhattan, NY 10014, West Village",10014,"(40.7325862, -74.0067038)"
137,The Cyclone,"834 Surf Ave Brooklyn, NY 11224, Coney Island",11224,"(40.57511890000001, -73.9776492)"
138,The Frick Collection,"1 E. 70th St. Manhattan, NY 10021 Upper East Side",10021,"(40.7713438, -73.96725409999999)"
139,The High Line,"Gansevoort Street to West 30th Street Manhattan, NY 10011, Meatpacking District",10011,"(40.751016, -73.9983425)"
140,The Met Breuer,"945 Madison Ave. Manhattan, NY 10021, Upper East Side",10021,"(40.773442, -73.9638271)"
141,The Met Cloisters,"Fort Tryon Park, 99 Margaret Corbin Dr. Manhattan, NY 10040, Washington Heights/Inwood",10040,"(40.8618241, -73.93300099999999)"
142,The Met Fifth Avenue,"Fifth Ave. at 82nd St. Manhattan, NY 10028 ,Upper East Side",10028,"(40.7789593, -73.9623038)"
143,The Metropolitan Opera,"Metropolitan Opera House at Lincoln Center Manhattan, NY 10023, Upper West Side",10023,"(40.7727076, -73.9839082)"
144,The Museum of Modern Art (MoMA),"11 W. 53rd St. Manhattan, NY 10019, Midtown West",10019,"(40.7613258, -73.9774014)"
145,The New York Chinese Scholar's Garden,"Snug Harbor Cultural Center & Botanical Garden, 1000 Richmond Terrace Staten Island, NY, Randall Manor",10301,"(40.6433718, -74.1027431)"
146,The New York Pass,"36 W. 44th St., ste. 1407 New York, NY 10036 Midtown West",10036,"(40.7552264, -73.9820435)"
147,The New-York Historical Society,"170 Central Park West Manhattan, NY 10024",10024,"(40.7792476, -73.9742792)"
148,The PIT,"123 E 24th St Manhattan, NY, Flatiron District",10010,"(40.7405602, -73.98468299999999)"
149,The Plaza Hotel,"Fifth Ave. at Central Park South Manhattan, NY 10019, Midtown West",10019,"(40.7643054, -73.9730038)"
150,The Ride,"box office: inside The Gift Shop at 584 Eighth Ave. Manhattan, NY 10018, Garment District",10018,"(40.7550575, -73.9910961)"
151,The Rink at Rockefeller Center,"One Rockefeller Plaza Manhattan, NY 10020, Midtown West",10020,"(40.7580629, -73.9788542)"
152,The Riverside Church New York City,"490 Riverside Dr. Manhattan, NY 10027, Morningside Heights",10027,"(40.8119008, -73.9630756)"
153,The Tenement Museum,"103 Orchard St. Manhattan, NY 10002, Lower East Side",10002,"(40.7187358, -73.9901606)"
154,The Thunderbolt,"W. 16th St. and the Boardwalk Brooklyn, NY 11224, Coney Island",11224,"(40.5794831, -73.984241)"
155,The Tour at NBC Studios,"30 Rockefeller Plaza Manhattan, NY 10112, Midtown West",10112,"(40.7593755, -73.9799726)"
156,The Town Hall,"123 W. 43rd St. Manhattan, NY 10036, Times Square/Theatre District",10036,"(40.7561203, -73.98445579999999)"
157,Theodore Roosevelt Birthplace,"28 E. 20th St. Manhattan, NY 10003, Gramercy",10003,"(40.7386999, -73.9889855)"
158,Times Square,"Broadway Manhattan, NY 10036, Times Square/Theatre District",10036,"(40.7558611, -73.987061)"
159,Top of the Rock Observation Deck,"30 Rockefeller Plaza Manhattan, NY 10112, Midtown West",10112,"(40.7593755, -73.9799726)"
160,Turtle Pond,"New York, NY 10024, Central Park",10024,"(40.7825547, -73.9655834)"
161,Underpenny Plane and Cast Iron Museum,"10-13 50th Ave. Queens, NY 11101, Long Island City",11101,"(40.7428133, -73.95345549999999)"
162,United Nations,"First Ave. at 46th St. Manhattan, NY 10017, Midtown East",10017,"(40.7513736, -73.9679699)"
163,United Palace House of Inspiration,"4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood",10033,"(40.8465512, -73.93791089999999)"
164,USTA Billie Jean King National Tennis Center,"Flushing Meadows Corona Park Queens, NY 11368, Flushing",11368,"(40.7400275, -73.8406953)"
165,Van Cortlandt House Museum,"Van Cortlandt Park, Broadway @ 246th St. Bronx, NY 10471, Fordham",10471,"(40.8972233, -73.8860668)"
166,Verrazano-Narrows Bridge,"Verrazano-Narrows Bridge, Staten Island, NY",11209,"(40.6066162, -74.0446602)"
167,Victorian Gardens Amusement Park (Central Park),"Wollman Rink in Central Park, enter park at 59th St. and Sixth Ave. Manhattan, NY 10065, Central Park",10065,"(40.7677792, -73.9744673)"
168,VR World NYC,"4 E. 34 St. Manhattan, NY 10022 Murray Hill",10022,"(40.7480493, -73.9841505)"
169,Wall Street,"Wall St. Manhattan, NY 10006, Lower Manhattan",10006,"(40.7071279, -74.0106073)"
170,Washington Square Park,"W 4th St to Waverly Pl Manhattan, NY 10003, Greenwich Village",10003,"(40.7299926, -73.99408)"
171,Waterfront at Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,"(40.7140744, -74.0153339)"
172,Wave Hill,"675 W. 252nd St. Bronx, NY 10471, Riverdale",10471,"(40.9004001, -73.91128220000002)"
173,Wildlife Conservation Society,"2300 Southern Blvd. Bronx, NY 10460, The Bronx",10460,"(40.8501365, -73.8825112)"
174,Williamsburg Bridge,"Williamsburg, New York, NY 11104",11104,"(40.7448741, -73.91981609999999)"
175,Woodlawn Cemetery,"Webster Ave. & E. 233rd St.; second entrance: Jerome Ave. at Bainbridge Ave. Bronx, NY 10470, Woodlawn",10470,"(40.88603699999999, -73.878751)"
176,World Trade Center Transportation Hub,"New York, NY, Lower Manhattan",10007,"(40.7208595, -74.0006686)"
177,Wyckoff Farmhouse Museum,"5816 Clarendon Rd. Brooklyn, NY 11203, Midwood",11203,"(40.64433, -73.9207576)"
178,African Burial Ground National Monument,"290 Broadway Manhattan, NY 10007, Tribeca",10007,"(40.7148123, -74.0051798)"
179,Manhattan Bridge,"Enter at Bowery between Canal and Bayard Streets (Manhattan side) Manhattan, NY 10002, Manhattan",10002,"(40.7153706, -73.9977235)"
180,Conservatory Garden,"Fifth Ave and 105th St Manhattan, NY 10029, Central Park",10029,"(40.7939379, -73.94980269999999)"
181,Mount Vernon Hotel Museum & Garden,"421 E. 61st St. Manhattan, NY 10065, Upper East Side",10065,"(40.7605388, -73.959733)"
182,St. George Theatre,"35 Hyatt St. Staten Island, NY 10301, St. George",10301,"(40.64197559999999, -74.07751619999999)"
183,Explorer Pass,"151 W 34th St, New York, NY 10001",10001,"(40.7508631, -73.98906339999999)"
184,Wollman Rink,"near 59th St. & Sixth Ave. within Central Park Manhattan, NY 10021, Central Park",10021,"(40.7825547, -73.9655834)"
185,Friedsam Memorial Carousel,"Mid-park at 64th St Manhattan, NY 10023, Central Park",10023,"(40.7641518, -73.9634193)"
186,Japan Society,"333 E. 47th St. Manhattan, NY 10017, Midtown East",10017,"(40.7525025, -73.9682642)"
187,FDNY Fire Zone Rockefeller Center ,"34 West 51st Street New York, NY 10020, Midtown West",10020,"(40.7597362, -73.9785723)"
188,TimeLooper`,"mail: 40 Harrison St., 3K New York, NY 10013",10013,"(40.7190855, -74.0108824)"
189,"On Location Tours, Inc.","Meeting Sites in Midtown Manhattan; mail: 555 Eighth Ave., ste. 2003 Manhattan, NY 10018, Times Square/Theatre District",10018,"(40.7546921, -73.99209019999999)"
190,Snug Harbor Cultural Center & Botanical Garden,"1000 Richmond Terr. Staten Island, NY 10301",10301,"(40.6445604, -74.10275279999999)"
191,Voilà Chocolat,"221 W. 79th St. Manhattan, NY 10024, Upper West Side",10024,"(40.7837141, -73.9792168)"
192,Central Park Zoo,"830 Fifth Ave. (southeast corner of Central Park) Manhattan, NY 10021, Central Park",10021,"(40.7825547, -73.9655834)"
193,Asser Levy/Seaside Park,"W 5th St Brooklyn, NY 11224, Coney Island",11224,"(40.5795265, -73.9719333)"
194,Woolworth Building,"233 Broadway New York, NY 10007, Lower Manhattan",10007,"(40.71208680000001, -74.0079181)"
195,Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,"(40.7140744, -74.0153339)"
196,New York Mets,"Citi Field, 126th St. and Roosevelt Ave. Queens, NY 11368, Flushing",11368,"(40.7570877, -73.8458213)"
197,Onassis Cultural Center New York,"645 Fifth Ave. (enter on 51st St.) Manhattan, NY 10022, Midtown East",10022,"(40.7594343, -73.97578349999999)"
198,Official NYC Information Center–South Street Seaport,"Hornblower Cruises on the East River Waterfront Esplanade at Pier 15 Manhattan, NY 10038, Lower Manhattan",10038,"(40.7043756, -74.0029654)"
199,Fort Wadsworth,"210 New York Ave. Staten Island, NY 10305, Staten Island",10305,"(40.6034376, -74.0587487)"
200,Deno's Wonder Wheel Amusement Park,"3059 Denos Vourderis Place (W 12th St) Brooklyn, NY 11224, Coney Island",11224,"(40.5738331, -73.9793486)"
201,Bethesda Terrace/Fountain,"Mid-park at 72nd St. New York, NY, Central Park",10021,"(40.7825547, -73.9655834)"
202,George Washington Bridge,"George Washington Bridge Manhattan, NY, Washington Heights/Inwood",07024,"(40.8677145, -73.9212019)"
203,The Public Theate,"425 Lafayette St. Manhattan, NY 10003, East Village",10003,"(40.7289276, -73.9917262)"
204,Washington Street between Front and Water Streets,"Brooklyn, NY 11205, DUMBO",11205,"(40.6945036, -73.9565551)"
205,Brooklyn Bridge Park,"334 Furman St. Brooklyn, NY 11201, DUMBO",11201,"(40.694097, -73.9992709)"
206,Tompkins Square Park,"E 10th St, New York, NY 10009",10009,"(40.7259466, -73.9777153)"
207,Lincoln Center for the Performing Arts,"70 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,"(40.7741882, -73.9842563)"
208,National Park Service,"c/o Statue of Liberty National Monument New York, NY 10004, Battery Park City",10004,"(40.6892494, -74.04450039999999)"
209,Belvedere Castle,"Central Park, midpark at 79th St Manhattan, NY, Central Park",10021,"(40.7825547, -73.9655834)"
210,Sunset Park,"Bet. Fifth and Seventh Aves. and 41st and 44th Sts. Brooklyn, NY 11220, Sunset Park",11220,"(40.647487, -74.00066199999999)"
211,Official NYC Information Center (Times Square),"Broadway Plaza, between 43rd and 44th Streets New York, NY 10036, Times Square/Theatre District",10036,"(40.759011, -73.9844722)"
212,Morris-Jumel Mansion,"65 Jumel Terr. Manhattan, NY 10032, Washington Heights/Inwood",10032,"(40.834435, -73.93859979999999)"
213,Conservatory Water,"72nd to 75th Sts Manhattan, NY 10021 Central Park",10021,"(40.7825547, -73.9655834)"
214,Madame Tussauds New York,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,"(40.7566328, -73.9887914)"
215,Whitney Museum of American Art,"99 Gansevoort St. Manhattan, NY 10014, Meatpacking District",10014,"(40.7396786, -74.0088636)"
216,Coney Island History Project,"Deno's Wonder Wheel Amusement Park, 3059 W. 12th St. Brooklyn, NY 11224, Coney Island",11224,"(40.57333089999999, -73.9791552)"
217,United Palace Theatre,"4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood",10033,"(40.8465512, -73.93791089999999)"
218,Central Park,"Between Fifth Ave. and Central Park West Manhattan, NY 10024, Central Park",10024,"(40.7825547, -73.9655834)"
219,Bank of America Winter Village at Bryant Park,"Bryant Park, 42nd St. and 6th Ave. Manhattan, NY 10018, Midtown West",10018,"(40.7535965, -73.9832326)"
220,New York City Ballet,"David H. Koch Theater, 20 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,"(40.7718737, -73.9836184)"
221,Museum of Sex,"233 Fifth Ave. Manhattan, NY 10016, NoMad",10016,"(40.743986, -73.9872499)"
222,Coney Island,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,"(40.5742968, -73.9888676)"
223,Unbreakable Kimmy Schmidt Apartment,"74 Freeman St. Brooklyn, NY 11222, Greenpoint",11222,"(40.73395, -73.95897029999999)"
224,Bryant Park,"Sixth Ave. between 40th and 42nd Sts. Manhattan, NY Midtown West",10018,"(40.7576192, -73.9907177)"
225,New York Rangers,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,"(40.748565, -73.9885175)"
226,Citi Field,"126th St. and Roosevelt Ave. Flushing, NY 11368, Flushing",11368,"(40.752169, -73.8538247)"
227,Queens Botanical Garden,"43-50 Main St. Queens, NY 11355, Flushing",11355,"(40.7501139, -73.8295301)"
228,Prospect Park Bandshell,"Prospect Park West Brooklyn, NY 11217, Park Slope",11217,"(40.6646483, -73.9768535)"
229,Prospect Park Concert Grove,"Parkside and Ocean Avenues entrance Brooklyn, NY 11225, Park Slope",11225,"(40.654903, -73.96195999999999)"
230,The Mall and Literary Walk,"Mid-park bet 66th and 72nd Sts Manhattan, NY 10022, Central Park",10022,"(40.7830603, -73.9712488)"
